name,town,nation,place_id,rating,reviews,photos,has_website,score,band,match_confidence,headline_gap
Carpet GIANT Charton,Charlton,England,ChIJtRnbJPmp2EcRR-6dOdCd788,4.6,136,10,yes,89,Strong,review,Rating is 4.6 — below the 5.0 ceiling
Carpet GIANT Croydon,Croydon,England,ChIJxecuPh4HdkgRTos1pgy_6ac,4.4,247,10,yes,90,Strong,high,Rating is 4.4 — below the 5.0 ceiling
Carpet GIANT Maidstone,Maidstone,England,ChIJM6Euu-0v30cRCRdVYl18SEY,4.7,45,4,yes,73,OK,high,Only 45 reviews — needs more to build trust
Carpet GIANT Orpingdon,Orpington,England,ChIJjzR46WOs2EcRhf73fwfS2gg,4.5,81,10,yes,81,Strong,high,Only 81 reviews — needs more to build trust
Carpet Next Day Maidstone,Maidstone,England,ChIJV-L6N9Uz30cRiQ2OOXfpMV0,4.8,60,10,yes,87,Strong,high,Only 60 reviews — needs more to build trust
Carpet Options,Witney,England,ChIJlfLDd2fMdkgRJ829S6mWkRk,4.9,176,10,yes,94,Strong,high,176 reviews — push past 200 to max the trust signal
Carpets 2 You,Bishop Auckland,England,ChIJm6JvhIaCfkgRWEEYU5FTTv8,4.9,59,10,yes,88,Strong,high,Only 59 reviews — needs more to build trust
Carpets Direct Bristol,City of Bristol,England,ChIJN2ef7GiOcUgR_BhDT5sBAy8,4.7,204,10,yes,95,Strong,high,Rating is 4.7 — below the 5.0 ceiling
Castle Carpets - Malton,Malton,England,ChIJ_ZGdcVsqf0gRmF2rBIMnlZI,4.6,9,10,yes,61,OK,high,Only 9 reviews — needs more to build trust
Chadwick Carpets Ltd,Liverpool,England,ChIJr6G4fGEke0gR8HLL7OvoQT4,4.9,55,10,yes,88,Strong,high,Only 55 reviews — needs more to build trust
Cheam Flooring,Cheam,England,ChIJ22uOOEkIdkgRqoA9El5VH7Q,4.7,61,10,yes,85,Strong,high,Only 61 reviews — needs more to build trust
Clarkes Floors And Furniture,Hornchurch,England,ChIJxbFXIS272EcR9ryt5d4c5hc,4.4,224,10,yes,90,Strong,high,Rating is 4.4 — below the 5.0 ceiling
CM Flooring,Consett,England,ChIJ2eo066vWfUgRrBwsGF3ZeII,5,3,2,yes,62,OK,review,Only 3 reviews — needs more to build trust
Coldbath Flooring,Harrogate,England,ChIJh-LZTf1TeUgRJgyG519Pk9g,4.8,58,10,yes,87,Strong,high,Only 58 reviews — needs more to build trust
Contract Flooring Holdings Ltd,Camborne,England,ChIJBXFZNBkga0gR80m70wsENOI,4.3,25,10,yes,72,OK,high,Only 25 reviews — needs more to build trust
Corraff Carpets,Greater London,England,ChIJQQPoIA8adkgRqO3Ei1tbWFQ,4.3,24,10,yes,64,OK,review,Only 24 reviews — needs more to build trust
County Carpets,Salisbury,England,ChIJebtwrg3tc0gRqVDeZGYSQd8,5,8,10,yes,68,OK,high,Only 8 reviews — needs more to build trust
County Flooring & Supplies,Nottingham,England,ChIJbbxQutrDeUgR2Zs3lSySURY,4.9,95,10,yes,88,Strong,high,Only 95 reviews — needs more to build trust
Crawley Carpet Warehouse,Crawley,England,ChIJNTTZwavvdUgR7cQwwOBDghg,4.7,100,10,yes,91,Strong,high,Rating is 4.7 — below the 5.0 ceiling
Custom Flooring Ltd,Sunderland,England,ChIJ2TVddmxM6aIRFY2-JBuMh90,5,40,10,yes,84,Strong,review,Only 40 reviews — needs more to build trust
Cut Price Carpets & Flooring,Middlesbrough,England,ChIJc0KtjtftfkgRl_xrzBSXdp8,4.9,40,10,yes,82,Strong,high,Only 40 reviews — needs more to build trust
DGN Interiors,Wolverhampton,England,ChIJHd-gXL2bcEgRVpaN-i99mSY,5,9,10,yes,68,OK,high,Only 9 reviews — needs more to build trust
Drapers Carpets,Whitby,England,ChIJzclsdXYXf0gRzBZ2jjmBaU0,4.6,56,10,yes,83,Strong,high,Only 56 reviews — needs more to build trust
Eclipse Flooring,Moreton,England,ChIJ539AD5ooe0gRRjrxb26UEKo,5,278,10,yes,100,Strong,high,Profile is in great shape — keep reviews coming
Elite Installations,Harrogate,England,,,0,0,no,0,Invisible,NOT FOUND,No Google Business Profile found — invisible on Google Maps & Search
Elvet Flooring Solutions,County Durham,England,,,0,0,no,0,Invisible,NOT FOUND,No Google Business Profile found — invisible on Google Maps & Search
Endurance Carpets,Orpington,England,ChIJMT90lWWr2EcRvNoCcB13y3w,4.2,33,1,yes,64,OK,high,Only 33 reviews — needs more to build trust
Floor Depot,Chesterfield,England,ChIJmzMCCtSEeUgR-vVm05tBlms,4.7,145,10,yes,91,Strong,high,Rating is 4.7 — below the 5.0 ceiling
Floor Designs,Grantham,England,ChIJ7yS21bMxeEgRAn3-11_msJQ,4.8,37,10,yes,81,Strong,high,Only 37 reviews — needs more to build trust
Flooring Developments,Darlington,England,ChIJRT9AZcKTfkgRys-1ZE2lij0,5,3,10,yes,68,OK,high,Only 3 reviews — needs more to build trust
Flooring Developments LTD,Darlington,England,ChIJRT9AZcKTfkgRys-1ZE2lij0,5,3,10,yes,68,OK,high,Only 3 reviews — needs more to build trust
Flooring Matters SW,Newton Abbott,England,ChIJJ11ebUkHbUgR7STMfdUoksw,4.9,53,10,yes,88,Strong,high,Only 53 reviews — needs more to build trust
Flooring Storage UK,Potters Bar,England,ChIJ1SP1PDg9dkgR9OHmQ5IXZAU,5,17,10,yes,76,OK,review,Only 17 reviews — needs more to build trust
Flooring Worx,Darlington,England,ChIJB2trG7qbfkgR717M5HoNVcA,4.8,4,0,no,52,Needs work,high,Only 4 reviews — needs more to build trust
Floorscope,Corbridge,England,ChIJK3N1EAnbfUgRst91ipSMab0,4.9,117,10,yes,94,Strong,high,117 reviews — push past 200 to max the trust signal
Floortek Supplies,Bicester,England,ChIJZ8MayL3ddkgRrqs-1x99cZo,4.3,3,2,no,37,At risk,review,Only 3 reviews — needs more to build trust
Fresh Flooring,Stafford,England,ChIJ9dQjzsJxekgRq4ErYEr4l8Q,4.8,26,10,yes,81,Strong,high,Only 26 reviews — needs more to build trust
Gloucester Carpet Outlet,Gloucester,England,ChIJbZ6UN2wGcUgRdZnJutpM7xU,4.4,235,10,yes,90,Strong,high,Rating is 4.4 — below the 5.0 ceiling
Guest Carpets,City and Borough of Birmingham,England,ChIJmbIXOtC9cEgRzJJ7jMGm6UI,4.8,27,6,yes,81,Strong,high,Only 27 reviews — needs more to build trust
Harper & Pye Ltd,Blackpool,England,ChIJmx9hIKBEe0gRKDmGYrZy5xg,4.8,37,10,yes,81,Strong,high,Only 37 reviews — needs more to build trust
Home Carpets by Neil Mcbrearty,Carlisle,England,ChIJo4iDtiYafUgROTPM8K217Es,4.9,64,10,yes,88,Strong,review,Only 64 reviews — needs more to build trust
Hopkins Flooring,Attleborough,England,ChIJwV0PR_fte0gR7SRuBwyKS2s,4.7,23,10,yes,71,OK,review,Only 23 reviews — needs more to build trust
Hudspeth Floooring,Leyburn,England,ChIJ78VytJUbfEgRSN7CdWibmL4,4.9,14,2,yes,68,OK,high,Only 14 reviews — needs more to build trust
Hudspeth Flooring,Brompton on Swale,England,ChIJN3iMZ0SgfkgRhZmFJrVdHqU,4.3,35,8,yes,72,OK,high,Only 35 reviews — needs more to build trust
Image Flooring Benfleet,South Benfleet,England,ChIJ8y-i5yvF2EcRfhmB0EyCbBs,4.9,94,10,yes,88,Strong,high,Only 94 reviews — needs more to build trust
Image Flooring Chelmsford,Chelmsford,England,ChIJ-4bE1NXr2EcRRuxw0FL0vtk,4.8,50,10,yes,87,Strong,high,Only 50 reviews — needs more to build trust
Inspired Flooring Earby,Barnoldswick,England,ChIJe4q2vaGNe0gRIFWPVH-hTWc,4.4,10,4,yes,59,Needs work,high,Only 10 reviews — needs more to build trust
Iroka Interiors,Hayle,England,ChIJ3ThNcNjdakgRsjcuuOQySog,4.6,56,10,yes,83,Strong,high,Only 56 reviews — needs more to build trust
Islandwide Carpets,Isle of Wight,England,ChIJC20cDxthdEgRptDOKRDOzPw,4.8,79,10,yes,87,Strong,high,Only 79 reviews — needs more to build trust
JA flooring,Northampton,England,ChIJGbPXrOcOd0gRgaQK7jkG45I,4.9,85,10,yes,88,Strong,review,Only 85 reviews — needs more to build trust
Jeff Wynn,Redcar,England,ChIJWRfM-w7wfkgRVq1jPfOEINY,5,6,3,yes,62,OK,high,Only 6 reviews — needs more to build trust
Jim Youngman Carpets,Whitehaven,England,ChIJCa_S6uUxY0gRhsHPRh3FeYY,4.9,53,10,no,82,Strong,high,Only 53 reviews — needs more to build trust
JL Flooring,Portsmouth,England,,,0,0,no,0,Invisible,NOT FOUND,No Google Business Profile found — invisible on Google Maps & Search
JSR Flooring,Gt Clacton,England,ChIJTcLYu5Bt2UcRBn5TkUSNmEw,4.9,29,10,yes,82,Strong,high,Only 29 reviews — needs more to build trust
Kinghall Flooring,Nottinghamshire,England,ChIJqVvl40HHeUgRUG8jWQLErNY,5,60,10,yes,90,Strong,high,Only 60 reviews — needs more to build trust
Knights flooring,Poole,England,ChIJD_pbJVKhc0gRL37aOOx88vU,4.9,34,10,yes,82,Strong,high,Only 34 reviews — needs more to build trust
Lewis Carpets,Canterbury,England,ChIJV9tVs8jL3kcRy6CS-_67S8A,3.8,82,10,yes,69,OK,high,Rating is 3.8 — below the 5.0 ceiling
LT Carpets & Flooring,Copford,England,ChIJyU16YksD2UcRU4lt5LBT4T4,4.8,126,10,yes,93,Strong,review,126 reviews — push past 200 to max the trust signal
Lutterworth Flooring,Lutterworth,England,ChIJb0RlmBhDd0gRgHkf7glGyT4,5,20,10,yes,76,OK,high,Only 20 reviews — needs more to build trust
Market Carpets,Exeter,England,ChIJ_Xig6p2mbUgRBZBKa5ir5cE,4.8,234,10,yes,97,Strong,high,Rating is 4.8 — below the 5.0 ceiling
Mascalls Carpets & Flooring Specialists,Whitfield,England,ChIJS-tXSdOk3kcRgOPFUDUN8rE,4.5,29,10,yes,75,OK,high,Only 29 reviews — needs more to build trust
MS Flooring,Whitehaven,England,ChIJW1S2xCMyY0gRu9z0epTseZM,4.8,20,10,yes,73,OK,high,Only 20 reviews — needs more to build trust
Multisave Carpets,City of Bristol,England,,,0,0,no,0,Invisible,NOT FOUND,No Google Business Profile found — invisible on Google Maps & Search
Northumbria Flooring,North Shields,England,ChIJoUuuF3FvfkgR7-3O3kaADvY,4.6,16,2,yes,63,OK,high,Only 16 reviews — needs more to build trust
Northumbria Flooring & Furniture,North Shields,England,ChIJoUuuF3FvfkgR7-3O3kaADvY,4.6,16,2,yes,63,OK,review,Only 16 reviews — needs more to build trust
Northumbria Flooring & Furniture,Blyth,England,ChIJhUaql1MNfkgRMYr63ULbRo8,4.8,117,10,yes,93,Strong,high,117 reviews — push past 200 to max the trust signal
Optimum Flooring Solutions,North Shields,England,ChIJE3PyPz5vfkgRLBit37x-Zks,4.9,40,10,yes,82,Strong,high,Only 40 reviews — needs more to build trust
OTB Interiors,Exeter,England,ChIJGVDU-ckecQYR0cXfVFXYuRA,5,22,10,yes,76,OK,high,Only 22 reviews — needs more to build trust
Parkside Discount Carpets,Grimsby,England,ChIJqyK-OcaceEgRjn0w66qDWPw,4.8,59,10,yes,87,Strong,high,Only 59 reviews — needs more to build trust
Phil Irwin Carpets,Teddington,England,ChIJx2JH750MdkgRlLUigN9pQmE,4.8,52,7,yes,87,Strong,high,Only 52 reviews — needs more to build trust
Posh Carpets & Flooring,Salford,England,ChIJ-bU1AACxe0gRM1Fc1EFJkKA,4.9,35,10,yes,82,Strong,high,Only 35 reviews — needs more to build trust
Regency Flooring,Canterbury,England,ChIJT_Rfp5LK3kcRmKQdubycZEA,4.4,14,0,yes,59,Needs work,high,Only 14 reviews — needs more to build trust
RMD Flooring,Tamworth,England,ChIJ3TLC9qOvcEgRiLtLRAJhLVI,5,21,10,yes,76,OK,high,Only 21 reviews — needs more to build trust
Rodgers Carpets Ltd,Frodsham,England,ChIJ74ycw6HjekgRPbXe04LZi0I,4.8,39,10,yes,81,Strong,review,Only 39 reviews — needs more to build trust
ROMNEY FLOORING,KENT,England,ChIJfatMaGro3kcRjHYBb41acUM,4.8,54,10,yes,87,Strong,high,Only 54 reviews — needs more to build trust
Roseways,Harrogate,England,ChIJG1_WmuZTeUgRw6P0z8akZZk,3.6,8,10,yes,44,Needs work,review,Only 8 reviews — needs more to build trust
Sawston Carpets & Flooring,Cambridge,England,ChIJ_9xcml572EcRLfBGYKypO2k,4.5,80,10,yes,81,Strong,high,Only 80 reviews — needs more to build trust
Select Carpet-Blinds & Floors,Stockton on Tees,England,ChIJZSb1qwiTfkgRoQxbpHLL1WM,5,30,10,yes,84,Strong,high,Only 30 reviews — needs more to build trust
Selectline Kitchens and Flooring,Swindon,England,ChIJmxnvY9JFcUgRqiwr7bmpRu0,3.9,19,10,yes,57,Needs work,review,Only 19 reviews — needs more to build trust
Simon Davis Flooring,Bristol,England,ChIJNb3iJsQnckgR7WFO6pQzW4c,4.9,92,10,yes,88,Strong,high,Only 92 reviews — needs more to build trust
Solihull Carpets,Solihull,England,ChIJhYpGtqe5cEgRldmOsQeQFw4,5,40,10,yes,84,Strong,high,Only 40 reviews — needs more to build trust
Spacers Tile & Wood Flooring Limited,Maidenhead,England,ChIJ7_G_us9idkgRA1yK0uYN-bY,4.6,26,10,yes,77,OK,high,Only 26 reviews — needs more to build trust
St Helens Flooring,St Helens,England,ChIJq3au-jMbe0gRcTWug0sX6H4,4.9,227,10,yes,98,Strong,high,Rating is 4.9 — below the 5.0 ceiling
Steve's Carpets,Hartlepool,England,ChIJ_RVcmpHzfkgRUMPT_QovRL4,4.3,48,4,no,59,Needs work,high,Only 48 reviews — needs more to build trust
Stroud Carpets & Interiors,Gloucestershire,England,ChIJeXyy-H0LcUgRx2x1RlXJhxk,4.7,79,10,yes,85,Strong,high,Only 79 reviews — needs more to build trust
Supreme Carpets,Dersingham,England,ChIJQ5a6TmWO10cRBytqmw-eyKQ,4.7,17,10,yes,71,OK,high,Only 17 reviews — needs more to build trust
Sylk Flooring,Bollington,England,ChIJAwCEbNpLekgRqNghAI5L11I,5,4,2,yes,62,OK,high,Only 4 reviews — needs more to build trust
T&B CARPETS,Manningtree,England,ChIJI86wUmcJ2UcR4EPmfE1Rtz8,4.2,5,3,yes,48,Needs work,high,Only 5 reviews — needs more to build trust
Tees Valley Flooring,Stockton on Tees,England,ChIJbcZqdsSSfkgRKNI2njyOWik,3.7,6,0,no,33,At risk,review,Only 6 reviews — needs more to build trust
The Arches Carpet Centre,Penrith,England,ChIJyVI_jIH7fEgRIX-S86XsNWI,4.5,19,10,yes,67,OK,high,Only 19 reviews — needs more to build trust
The Design House,Holmes Chapel,England,ChIJzywJNOZZekgRLUCyNGLkCPQ,4.4,7,10,yes,58,Needs work,high,Only 7 reviews — needs more to build trust
The Floor Studio,Cheshire East,England,ChIJPXaeLwABe0gRnru59Y6jxGc,5,33,10,no,78,OK,review,Only 33 reviews — needs more to build trust
The Flooring and Carpet shop,Dorchester,England,ChIJ2WYX-JVZckgR97IfQX7WjGo,4.6,30,10,yes,77,OK,review,Only 30 reviews — needs more to build trust
The Southport Carpet Centre,Southport,England,ChIJpQBQVsM-e0gRcNRrkbaGbQA,4.5,84,10,yes,81,Strong,high,Only 84 reviews — needs more to build trust
Thomas Hearn Furnishings,Kenilworth,England,ChIJMQEMEbLKcEgR89cjcPzjOkw,4.4,169,10,yes,86,Strong,high,Rating is 4.4 — below the 5.0 ceiling
Thompsons Floooring,Whitfield,England,,,0,0,no,0,Invisible,NOT FOUND,No Google Business Profile found — invisible on Google Maps & Search
Trade Carpet London,Wimbledon,England,ChIJjyAtCEoFdkgRbKciauYQbu0,5,1,10,yes,68,OK,high,Only 1 review — needs more to build trust
Trinity Carpets,Cannock,England,ChIJs5IQsdafcEgRpbK4k2C1VZQ,4.3,72,10,yes,78,OK,high,Rating is 4.3 — below the 5.0 ceiling
Trinity Carpets,Tipton,England,ChIJB8sNcOGZcEgR6zvChyUD9mI,4.5,145,10,yes,87,Strong,high,Rating is 4.5 — below the 5.0 ceiling
Trinity Flooring,KENT,England,ChIJn3hTqE_a3kcRpovJz72NnsE,4.7,62,10,yes,85,Strong,high,Only 62 reviews — needs more to build trust
Upper Street Carpets,Islington,England,ChIJJzACzGUbdkgRZ_QeGnFLSSU,4.9,172,10,yes,94,Strong,high,172 reviews — push past 200 to max the trust signal
VICTORIA FLOORING LTD,Margate,England,ChIJFdw0wQdT2UcRQWgJPhBBVKk,4.4,115,10,yes,86,Strong,high,Rating is 4.4 — below the 5.0 ceiling
Village Flooring,Bradford,England,ChIJk7hlI8Hhe0gRGlAepS51uLA,5,16,10,yes,76,OK,high,Only 16 reviews — needs more to build trust
Walker Flooring,Knutsford,England,ChIJj03fDQ1UekgR-k5BPwDgixs,5,8,3,yes,62,OK,review,Only 8 reviews — needs more to build trust
Walker on Flooring,Eastbourne,England,ChIJBVsIZqxz30cRY0Pi4qkIDPw,5,4,10,yes,68,OK,review,Only 4 reviews — needs more to build trust
Wansbeck Carpet and Floor,Pegswood,England,ChIJY8Q8QY8LfkgRtUdssg88O3Y,4.9,49,10,yes,82,Strong,high,Only 49 reviews — needs more to build trust
Welch Mill Carpets,Borough of Wigan,England,ChIJPZA_BmwHe0gRmlX4lLtDss8,4.7,372,10,yes,95,Strong,high,Rating is 4.7 — below the 5.0 ceiling
Whitburn Coastal Flooring,Whitburn,England,ChIJLZTw2yZmfkgRhhX_jE6UTxc,5,10,0,no,64,OK,review,Only 10 reviews — needs more to build trust
Whitley Bay Carpets and Beds,Whitley Bay,England,ChIJjctbGyhsfkgRPvsgzmPka_0,4.9,41,10,no,76,OK,review,Only 41 reviews — needs more to build trust
Wilkinsons Flooring,Middlesbrough,England,ChIJt2xjQSTtfkgRdmVNhYfsCBc,4.9,10,6,no,68,OK,review,Only 10 reviews — needs more to build trust
Winnens 1929 ltd,Cheltenham,England,ChIJv-x-Hd4bcUgRFFUFB9VfQIw,2.3,3,10,yes,21,At risk,review,Rating is 2.3 — below the 5.0 ceiling
Wycombe Carpet Centre,Buckinghamshire,England,ChIJkeoU8tZhdkgRW6ww3T6gEt8,4.5,42,10,yes,75,OK,high,Only 42 reviews — needs more to build trust
Magic Carpets,Isle Of Man,Isle of Man,ChIJ3Smk2P-NY0gRrxHZmaF4B74,4.7,13,0,yes,65,OK,high,Only 13 reviews — needs more to build trust
Allans Furniture Warehouse,Glasgow,Scotland,ChIJq9DEjppGiEgRyxoqtDy72aY,3.7,303,10,yes,77,OK,high,Rating is 3.7 — below the 5.0 ceiling
Carpet and flooring Services,Oban,Scotland,ChIJiT-ZBAZniUgRibgr-PMbBM8,4.5,8,0,yes,53,Needs work,high,Only 8 reviews — needs more to build trust
Crawford Flooring EK,Hamilton,Scotland,ChIJo6xu980ViEgRhAFMMQL-oc4,4.1,20,10,yes,60,OK,review,Only 20 reviews — needs more to build trust
Dallas Carpets Scotland Ltd,Greenock,Scotland,ChIJcQ0PhjGuiUgR01557Wr90xM,4.6,156,10,yes,89,Strong,review,Rating is 4.6 — below the 5.0 ceiling
Donnys Carpets Scotland Ltd,Falkirk,Scotland,ChIJq7S-iFV6iEgRKHzkWLLWf00,4.4,71,10,yes,80,Strong,high,Rating is 4.4 — below the 5.0 ceiling
EBR Flooring,Kilmarnock,Scotland,ChIJS4-vtJYyiEgRXA6Y1kdRSxc,5,12,10,yes,76,OK,high,Only 12 reviews — needs more to build trust
Edinburgh Carpet Warehouse Limited,Edinburgh,Scotland,ChIJE-OsW4vHh0gRFCYVerpAgV0,4.2,116,10,yes,82,Strong,high,Rating is 4.2 — below the 5.0 ceiling
Falkirk Carpets,Falkirk,Scotland,ChIJrzVHbCl6iEgR2Ai9RpOB0RQ,4.6,123,10,yes,89,Strong,high,Rating is 4.6 — below the 5.0 ceiling
Flairplan,Airdrie,Scotland,ChIJaeMJRQBtiEgR0fr5RvsQWUI,4.9,45,10,yes,82,Strong,high,Only 45 reviews — needs more to build trust
Forever Flooring,Broxburn,Scotland,ChIJj0NO6lbah0gRHRx1qsnxG0Y,4.8,39,10,yes,81,Strong,high,Only 39 reviews — needs more to build trust
Forth Furnishing,City of Edinburgh,Scotland,ChIJUZSqvOzHh0gRi_YvogsZzeQ,4.4,26,10,yes,74,OK,high,Only 26 reviews — needs more to build trust
G Flooring Solutions,Glasgow,Scotland,ChIJ94hD3iRpiEgRyrUS3fgHHBc,5,2,8,no,62,OK,high,Only 2 reviews — needs more to build trust
G N L Carpet and Flooring,Uddingston,Scotland,ChIJF5ltjf1riEgRhzQu51hH8X0,5,7,10,no,62,OK,review,Only 7 reviews — needs more to build trust
Inspired Floors,Motherwell,Scotland,ChIJH5-PiVFriEgRIMW93UMwbdw,5,96,10,yes,90,Strong,high,Only 96 reviews — needs more to build trust
Inverness Flooring & Furniture,Inverness,Scotland,ChIJv-trEhx3j0gRkY6rQU_uE1U,4.6,27,10,no,71,OK,high,Only 27 reviews — needs more to build trust
JM Flooring Scotland,Glasgow,Scotland,ChIJQ8Fd_3k_iEgRr-DrBQibQQY,4.9,77,10,yes,88,Strong,high,Only 77 reviews — needs more to build trust
Kinnears for Carpets Ltd,Newton Stewart,Scotland,ChIJeRAZ80ZSYkgR5EjoY4QjYH8,5,15,10,no,70,OK,review,Only 15 reviews — needs more to build trust
M West Flooring,Isle of Arran,Scotland,ChIJaU6t0zbniUgRWbWVMn09MCc,5,1,1,yes,62,OK,high,Only 1 review — needs more to build trust
North Floors,Nairn,Scotland,ChIJIf0u8nCBhUgRcDmuDBA8pCs,5,13,10,yes,76,OK,high,Only 13 reviews — needs more to build trust
Northern Carpets and Beds,Kilmarnock,Scotland,ChIJVVLu98IyiEgRb21--qvT7Fo,4.9,51,10,yes,88,Strong,high,Only 51 reviews — needs more to build trust
Saltire Carpets and Beds,Kirkintilloch,Scotland,ChIJnYdbU8VCiEgRx8Q6Ea-Yh_8,4.8,92,4,yes,80,Strong,high,Only 92 reviews — needs more to build trust
Sams Carpet and Flooring Ltd,East Kilbride,Scotland,,,0,0,no,0,Invisible,NOT FOUND,No Google Business Profile found — invisible on Google Maps & Search
Stainton Flooring,Stirling,Scotland,ChIJK5WvMcVkiEgRRTBvcuaTzGA,5,5,8,no,62,OK,review,Only 5 reviews — needs more to build trust
